BAT+1:1
BAT+2:1
BATGND1:1
BATGND2:1
DL1:1
DL10:1
DL11:1
DL12:1
DL13:1
DL14:1
DL15:1
DL16:1
DL17:1
DL18:1
DL19:1
DL2:1
DL20:1
DL3:1
DL4:1
DL5:1
DL6:1
DL7:1
DL8:1
DL9:1
DR1:1
DR10:1
DR11:1
DR12:1
DR13:1
DR14:1
DR15:1
DR16:1
DR17:1
DR18:1
DR19:1
DR2:1
DR20:1
DR3:1
DR4:1
DR5:1
DR6:1
DR7:1
DR8:1
DR9:1
J1:1
J2:1
PSW1:1
PSW2:1
REF**:12
RSW1:1
RSW2:1
SWL1:1
SWL10:1
SWL11:1
SWL12:1
SWL13:1
SWL14:1
SWL15:1
SWL16:1
SWL17:1
SWL18:1
SWL19:1
SWL2:1
SWL20:1
SWL3:1
SWL4:1
SWL5:1
SWL6:1
SWL7:1
SWL8:1
SWL9:1
SWR1:1
SWR10:1
SWR11:1
SWR12:1
SWR13:1
SWR14:1
SWR15:1
SWR16:1
SWR17:1
SWR18:1
SWR19:1
SWR2:1
SWR20:1
SWR3:1
SWR4:1
SWR5:1
SWR6:1
SWR7:1
SWR8:1
SWR9:1
U1:1
U2:1
